zipcode,CD116FP,area,area_prop,DEM,REP,total
80476,02,148763461.3031006,1.0,604.0,0.0,604.0
80477,03,69330.353515625,1.0,47302.0,2733.0,50035.0
80478,02,108718525.97094727,1.0,4253.0,1000.0,5253.0
80479,03,292389803.3261719,1.0,,,
80480,03,3955723129.647583,0.9999993098203476,727.9994975492131,0.0,727.9994975492131
80480,02,2730.1614990234375,6.901796524279883e-07,0.0005024507869675755,0.0,0.0005024507869675755
80481,02,188747815.99694824,1.0,5307.0,603.0,5910.0
80482,02,335964707.1904297,1.0,6071.0,366.0,6437.0
80483,03,225388678.21801758,1.0,,,
80487,03,1897536247.7922363,0.9999999089777589,55539.994944624734,16841.998467003417,72381.99341162815
80487,02,172.718017578125,9.102224110759389e-08,0.005055375271115764,0.0015329965847340962,0.006588371855849861
80488,03,28500.8115234375,1.0,11071.0,1518.0,12589.0
80497,02,34223361.62597656,1.0,4854.0,0.0,4854.0
80498,02,687228439.9919434,1.0,25405.0,6206.0,31611.0
80501,04,32608954.767944336,0.9999945006519045,93945.48335824383,14466.920440931102,108412.40379917492
80501,02,179.3289794921875,5.4993480955112035e-06,0.5166417561808955,0.07955906889776058,0.5962008250786561
80503,04,51028629.2890625,0.20944839325981496,55643.526292155264,16578.259223300873,72221.78551545614
80503,02,192604795.13049316,0.790551606740185,210023.47370784474,62573.740776699124,272597.21448454383
80504,04,217327268.64648438,0.8154977480087316,81937.95172892533,38515.958638452394,120861.65924138208
80504,02,49169198.299194336,0.18450225199126838,18538.04827107468,8714.041361547606,27344.34075861792
80510,02,172284197.60388184,1.0,1401.0,237.0,1638.0
80511,02,268127.9865722656,1.0,30.0,12.0,42.0
80512,03,59.747314453125,4.669048726234149e-08,0.0003456963676903764,0.00010061800005034592,0.0004463143677407223
80512,02,1279646351.253296,0.9999999533095127,7403.999654303632,2154.999899382,9558.999553685633
80758,04,1756774646.4069824,1.0,39.0,132.0,171.0
80938,05,8614985.166992188,1.0,181.0,0.0,181.0
80939,05,1303058.4404296875,1.0,,,
80951,05,12216363.143798828,1.0,2719.0,642.0,3361.0
81001,03,90767989.47631836,1.0,10988.0,3810.0,14798.0
81003,03,21474780.362060547,1.0,9484.0,0.0,9484.0
81004,03,425362790.50561523,1.0,10238.0,0.0,10538.0
81005,03,602708616.7669678,0.9999997801761692,9498.997911893432,184003.95955153584,193502.95746342928
81005,05,132.48974609375,2.1982383075928797e-07,0.0020881065683824767,0.040448464155032025,0.0425365707234145
81006,03,149009332.63305664,1.0,3616.0,4726.0,8342.0
81007,03,387999077.24243164,0.9999997076582956,11595.996610005595,13403.996081451794,25299.99260375488
81007,05,113.4283447265625,2.9234170445166806e-07,0.003389994404821543,0.003918548206470159,0.007396245122627202
81008,03,314674430.45166016,0.9049732359975048,7895.891484078229,5322.147600901326,13218.039084979555
81008,05,33042405.731689453,0.09502676400249521,829.1085159217707,558.8523990986744,1387.960915020445
81019,03,25960150.892578125,1.0,1018.0,480.0,1498.0
81020,03,1811.811279296875,1.2070366044689785e-06,0.0005359242523842265,0.0011925521652153507,0.0017284764175995772
81020,04,1501039061.8364258,0.9999987929633956,443.99946407574765,987.9988074478348,1431.9982715235824
81021,04,575676559.296875,1.0,,,
81022,03,1105948774.8330078,1.0,,,
81023,03,326421166.2578125,1.0,1831.0,874.0,2705.0
81024,04,108589728.31298828,1.0,280.0,947.0,1227.0
81025,03,1423518582.474121,0.9999995181245526,245.99988145863992,0.0,245.99988145863992
81025,05,448.953857421875,3.153830561886577e-07,7.75842318224098e-05,0.0,7.75842318224098e-05
81025,04,237.005126953125,1.6649239122277636e-07,4.095712824080298e-05,0.0,4.095712824080298e-05
81027,04,1602994726.6611328,1.0,,,
81029,04,1421762016.97583,1.0,0.0,242.0,242.0
81030,04,1150696.9294433594,1.0,,,
81033,04,837183.3833007812,1.0,600.0,0.0,600.0
81036,04,1978370759.5671387,1.0,155.0,699.0,854.0
81038,04,299725.8200683594,1.0,,,
81039,03,862124129.097168,0.5633124733039531,718.2234034625402,1971.5936565638358,2915.1420493479573
