zip,BDY,DEM,GRE,IND,LIB,REP,total,d_share
80123,0.0,117588.0,0.0,0.0,20.0,58436.0,176044.0,0.6679466497012111
80124,0.0,50437.0,0.0,0.0,0.0,93385.0,143822.0,0.3506904367899209
80125,0.0,33949.0,0.0,0.0,0.0,19629.0,53578.0,0.6336369405352943
80126,0.0,93953.0,0.0,0.0,0.0,36974.0,130927.0,0.7175983563359735
80127,0.0,71190.0,0.0,0.0,0.0,38044.0,109234.0,0.6517201603896223
80128,0.0,41329.0,0.0,0.0,0.0,20712.0,62041.0,0.6661562515110975
80129,0.0,41892.0,0.0,0.0,0.0,25840.0,67732.0,0.6184964270950215
80130,220.0,29167.0,0.0,0.0,0.0,14115.0,43502.0,0.6704749206933015
80131,0.0,271.0,0.0,0.0,0.0,0.0,271.0,1.0
80132,0.0,31639.0,0.0,0.0,0.0,43807.0,75446.0,0.41935954192402514
80133,0.0,2991.0,0.0,0.0,0.0,1644.0,4635.0,0.6453074433656958
80134,0.0,101188.0,0.0,0.0,50.0,46821.0,148059.0,0.683430254155438
80135,0.0,9676.0,0.0,0.0,0.0,17371.0,27047.0,0.35774762450549047
80136,0.0,1363.0,0.0,0.0,0.0,1345.0,2708.0,0.5033234859675036
80137,0.0,3078.0,0.0,0.0,0.0,2118.0,5196.0,0.5923787528868361
80138,0.0,44021.0,0.0,0.0,300.0,34593.0,78914.0,0.55783511164052
80150,0.0,8430.0,0.0,0.0,0.0,754.0,9184.0,0.9179006968641115
80151,0.0,120.0,0.0,0.0,0.0,0.0,120.0,1.0
80155,0.0,958.0,0.0,0.0,0.0,1250.0,2208.0,0.4338768115942029
80160,0.0,475.0,0.0,0.0,0.0,250.0,725.0,0.6551724137931034
80161,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0
80162,0.0,692.0,0.0,0.0,0.0,0.0,692.0,1.0
80163,0.0,250.0,0.0,0.0,0.0,0.0,250.0,1.0
80201,0.0,5070.0,0.0,0.0,0.0,431.0,5501.0,0.9216506089801855
80202,0.0,453429.0,0.0,0.0,250.0,37420.0,491099.0,0.923294488483992
80203,0.0,152571.0,482.0,0.0,0.0,3741.0,156794.0,0.973066571424927
80204,0.0,119603.0,250.0,0.0,1250.0,8996.0,130099.0,0.9193229771174259
80205,0.0,151294.0,499.0,0.0,0.0,490.0,152283.0,0.9935055127624226
80206,0.0,589733.0,0.0,0.0,250.0,94212.0,684195.0,0.8619370208785507
80207,0.0,127203.0,0.0,0.0,0.0,13981.0,141184.0,0.9009731980961015
80209,0.0,516840.0,0.0,0.0,250.0,33308.0,550398.0,0.9390295749621184
80210,0.0,435517.0,0.0,0.0,0.0,22946.0,458463.0,0.9499501595548605
80211,0.0,210605.0,0.0,0.0,0.0,2183.0,212788.0,0.9897409628362501
80212,0.0,123976.0,0.0,0.0,0.0,3774.0,127750.0,0.9704579256360079
80214,0.0,36417.0,0.0,0.0,0.0,5210.0,41627.0,0.8748408484877603
80215,220.0,54159.0,0.0,0.0,250.0,14028.0,68657.0,0.7888343504668133
80216,0.0,14908.0,0.0,0.0,0.0,5601.0,20509.0,0.7269003851967429
80217,0.0,5800.0,0.0,0.0,0.0,6400.0,12200.0,0.47540983606557374
80218,0.0,354831.0,0.0,0.0,0.0,19201.0,374032.0,0.9486648201223424
80219,0.0,36651.0,0.0,0.0,0.0,3315.0,39966.0,0.9170544963218736
80220,0.0,406720.0,0.0,0.0,0.0,8595.0,415315.0,0.9793048649820016
80221,0.0,45820.0,0.0,0.0,0.0,3017.0,48837.0,0.9382230685750558
80222,0.0,69328.0,0.0,0.0,0.0,6713.0,76041.0,0.9117186780815613
80223,0.0,45067.0,0.0,0.0,0.0,6966.0,52033.0,0.8661234216747065
80224,0.0,70327.0,0.0,0.0,250.0,8128.0,78705.0,0.8935518709103615
80226,0.0,46673.0,0.0,0.0,1100.0,2497.0,50270.0,0.9284463894967178
